date,open,close,low,high,volume
2010-01-04,30.620001,30.950001,30.59,31.1,38409100
2010-01-05,30.85,30.959999,30.639999,31.1,49749600
2010-01-06,30.879999,30.77,30.52,31.08,58182400
2010-01-07,30.629999,30.450001,30.190001,30.700001,50559700
2010-01-08,30.280001,30.66,30.24,30.879999,51197400
2010-01-11,30.709999,30.27,30.120001,30.76,68754700
2010-01-12,30.15,30.07,29.91,30.4,65912100
2010-01-13,30.26,30.35,30.01,30.52,51863500
2010-01-14,30.309999,30.959999,30.26,31.1,63228100
2010-01-15,31.08,30.860001,30.709999,31.24,79913200
2010-01-19,30.75,31.1,30.68,31.24,46575700
2010-01-20,30.809999,30.59,30.309999,30.940001,54849500
2010-01-21,30.610001,30.01,30,30.719999,73086700
2010-01-22,30,28.959999,28.84,30.200001,102004600
2010-01-25,29.24,29.32,29.1,29.66,63373000
2010-01-26,29.200001,29.5,29.09,29.85,66639900
2010-01-27,29.35,29.67,29.02,29.82,63949500
2010-01-28,29.84,29.16,28.889999,29.870001,117513700
2010-01-29,29.9,28.18,27.66,29.92,193888500
2010-02-01,28.389999,28.41,27.92,28.48,85931100
2010-02-02,28.370001,28.459999,28.139999,28.5,54413700
2010-02-03,28.26,28.629999,28.120001,28.790001,61397900
2010-02-04,28.379999,27.84,27.809999,28.5,77850000
2010-02-05,28,28.02,27.57,28.280001,80960100
2010-02-08,28.01,27.719999,27.57,28.08,52820600
2010-02-09,27.969999,28.01,27.75,28.34,59195800
2010-02-10,28.030001,27.99,27.84,28.24,48591300
2010-02-11,27.93,28.120001,27.700001,28.4,65993700
2010-02-12,27.809999,27.93,27.58,28.059999,81117200
2010-02-16,28.129999,28.35,28.02,28.370001,51935600
2010-02-17,28.530001,28.59,28.360001,28.65,45882900
2010-02-18,28.59,28.969999,28.51,29.030001,42856500
2010-02-19,28.790001,28.77,28.690001,28.92,44451800
2010-02-22,28.84,28.73,28.65,28.940001,36707100
2010-02-23,28.68,28.33,28.09,28.83,52266200
2010-02-24,28.52,28.629999,28.379999,28.790001,43165900
2010-02-25,28.27,28.6,28.02,28.65,48735300
2010-02-26,28.65,28.67,28.51,28.85,40370600
2010-03-01,28.77,29.02,28.530001,29.049999,43805400
2010-03-02,29.08,28.459999,28.24,29.299999,93123900
2010-03-03,28.51,28.459999,28.35,28.610001,48442100
2010-03-04,28.459999,28.629999,28.27,28.65,42890600
2010-03-05,28.66,28.59,28.42,28.68,56001800
2010-03-08,28.52,28.629999,28.5,28.93,39414500
2010-03-09,28.559999,28.799999,28.549999,29.110001,50271600
2010-03-10,28.860001,28.969999,28.799999,29.110001,44891400
2010-03-11,28.889999,29.18,28.85,29.190001,35349700
2010-03-12,29.32,29.27,29.040001,29.379999,31700200
2010-03-15,29.18,29.290001,29.01,29.370001,37512000
2010-03-16,29.42,29.370001,29.200001,29.49,36723500
2010-03-17,29.5,29.629999,29.4,29.870001,50385700
2010-03-18,29.629999,29.610001,29.5,29.719999,43845200
2010-03-19,29.76,29.59,29.35,29.9,81332100
2010-03-22,29.5,29.6,29.389999,29.700001,37718200
2010-03-23,29.59,29.879999,29.41,29.9,42026600
2010-03-24,29.719999,29.65,29.6,29.85,33987700
2010-03-25,29.83,30.01,29.799999,30.57,73168700
2010-03-26,30.09,29.66,29.59,30.200001,55595500
2010-03-29,29.709999,29.59,29.549999,29.82,33336000
2010-03-30,29.629999,29.77,29.5,29.860001,34954800
2010-03-31,29.639999,29.290001,29.17,29.719999,63760000
2010-04-01,29.35,29.16,28.620001,29.540001,74768100
2010-04-05,29.129999,29.27,29.030001,29.43,34331200
2010-04-06,29.15,29.32,28.98,29.58,47366800
2010-04-07,29.16,29.35,29.139999,29.559999,58318800
2010-04-08,29.32,29.92,29.299999,29.98,63713800
2010-04-09,29.950001,30.34,29.9,30.41,54752500
2010-04-12,30.25,30.32,30.209999,30.49,37068800
2010-04-13,30.15,30.450001,30.129999,30.5,41374600
2010-04-14,30.790001,30.82,30.66,31,68941200
2010-04-15,30.82,30.870001,30.709999,30.950001,52745400
2010-04-16,30.790001,30.67,30.6,30.98,88703100
2010-04-19,30.77,31.040001,30.76,31.25,64970300
2010-04-20,31.219999,31.360001,31.129999,31.440001,52199500
2010-04-21,31.33,31.33,31.23,31.5,55343100
2010-04-22,31.040001,31.389999,30.9,31.530001,84847600
2010-04-23,31.120001,30.959999,30.65,31.58,126766600
2010-04-26,31,31.110001,30.860001,31.280001,63649300
2010-04-27,30.950001,30.85,30.75,31.25,68730900
2010-04-28,30.92,30.91,30.620001,31,64557900
